CATEGORY,COURSE ID,COURSE NAME,CREDIT HOURS,PRE-REQISITES COUNT,PRE REQ
3,301101,CALCULUS I,3,0,
3,1901101,DISCRETE MATHEMATICS,3,0,
3,1901233,DATA STRUCTURES-1,3,1,1931102
3,1902202,DOCUMENTATION AND ETHICS,3,1,1904101
3,1902223,INTRODUCTION TO DATABASE SYSTEMS,3,1,1901233
3,1904101,FUNDAMENTALS OF INFORMATION TECHNOLOGY,3,0,
3,1904121,WEB APPLICATIONS DEVELOPMENT - 1,3,1,1904101
3,1931102,COMPUTER SKILLS FOR SCIENTIFIC FACULTIES,3,1,1902098+1932099
4,301131,PRINCIPLES OF STATISTICS,3,0,
4,302108,PHYSICS FOR COMPUTER SCIENCE,2,0,
4,302116,PHYSICS FOR COMPUTER SCIENCE-LAB,1,1,302108
4,1901204,LOGIC DESIGN,3,3,302108+302116+1901101
4,1901234,DATA STRUCTURES-2,3,1,1901233
4,1901237,PROGRAMMING METHODOLOGIES,3,1,1901233
4,1901238,PROGRAMMING IN SPECIAL LANGUAGES,3,1,1901237
4,1901241,THEORY OF COMPUTATION,3,1,1901101
4,1901322,COMPUTER ORGANIZATION,3,1,1901204
4,1901341,THEORY OF ALGORITHMS,3,1,1901233
4,1901351,NUMERICAL ANALYSIS,3,2,301101+1931102
4,1901353,MODELING AND SIMULATION,3,1,1901234
4,1901359,COMPUTER GRAPHICS,3,1,1901233
4,1901362,COMPUTER NETWORKS-1,3,1,1901233
4,1901376,SYSTEMS PROGRAMMING AND MANAGEMENT,3,1,1901322
4,1901442,NETWORK PROGRAMMING,3,2,1901238+1901362
4,1901463,COMPUTER SECURITY,3,1,1901362
4,1901466,DISTRIBUTED SYSTEMS,3,2,1901442+1901341
4,1901471,DESIGN AND IMPLEMENTATION OF PROGRAMMING LANGUAGES,3,1,1901241
4,1901472,COMPILER CONSTRUCTION,3,1,1901241
4,1901473,OPERATING SYSTEMS,3,1,1901233
4,1901496,PROJECT-1,0,0,
4,1901497,PROJECT-2,3,1,1901496
4,1901498,TRAINING,0,0,
4,1902342,ARTIFICIAL INTELLIGENCE,3,1,1901233
4,1902371,INTRODUCTION TO SOFTWARE ENGINEERING,3,1,1902223
5,1901443,GRAPH THEORY,3,1,1901341
5,1901446,COMPUTER SYSTEMS PERFORMANCE,3,2,301131+1901322
5,1901452,PATTERN RECOGNITION,3,1,1901359
5,1901457,INFORMATION VISUALIZATION,3,1,1901359
5,1901459,CERTIFIED SOFTWARE,3,1,1901233
5,1901461,COMPUTER NETWORKS - 2,3,1,1901362
5,1901464,PARALLEL PROCESSING,3,1,1901322
5,1901467,MULTIMEDIA NETWORKING,3,1,1901362
5,1901469,MOBILE WIRELESS NETWORKS,3,1,1901362
5,1901475,OPERATING SYSTEMS PROGRAMMING,3,2,1901473+1901237
5,1901494,SPECIAL TOPICS,3,1,1901233
5,1902353,HUMAN COMPUTER INTERACTION,3,1,1901359
5,1902454,DIGITAL IMAGE PROCESSING,3,1,1901359
5,1902474,SYSTEMS ANALYSIS AND DESIGN,3,1,1902223
5,1904341,OPERATIONS RESEARCH,3,1,301131
5,1904353,WEB APPLICATION DEVELOPMENT - 2,3,1,1904121
